GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US01951,ZCTA5 01951,4152,499
8600000US01952,ZCTA5 01952,9035,31
8600000US01960,ZCTA5 01960,52313,137
8600000US01966,ZCTA5 01966,7184,33
8600000US01969,ZCTA5 01969,6232,18
8600000US01970,ZCTA5 01970,42991,108
8600000US01982,ZCTA5 01982,7991,24
8600000US01983,ZCTA5 01983,6496,22
8600000US01984,ZCTA5 01984,5179,20
8600000US01985,ZCTA5 01985,4545,23
8600000US02019,ZCTA5 02019,16929,21
8600000US02021,ZCTA5 02021,22829,32
8600000US02025,ZCTA5 02025,8393,22
8600000US02026,ZCTA5 02026,25362,41
8600000US02030,ZCTA5 02030,5922,20
8600000US02032,ZCTA5 02032,4410,537
8600000US02035,ZCTA5 02035,17448,23
8600000US02038,ZCTA5 02038,32843,23
8600000US02043,ZCTA5 02043,23047,38
8600000US02045,ZCTA5 02045,10402,20
8600000US02047,ZCTA5 02047,65,56
8600000US02048,ZCTA5 02048,23678,57
8600000US02050,ZCTA5 02050,26032,275
8600000US02052,ZCTA5 02052,12610,18
8600000US02053,ZCTA5 02053,13162,22
8600000US02054,ZCTA5 02054,8144,17
8600000US02056,ZCTA5 02056,11388,268
8600000US02061,ZCTA5 02061,10897,24
8600000US02062,ZCTA5 02062,29121,46
8600000US02066,ZCTA5 02066,18042,274
8600000US02067,ZCTA5 02067,18148,111
8600000US02071,ZCTA5 02071,1572,416
8600000US02072,ZCTA5 02072,28338,44
8600000US02081,ZCTA5 02081,19358,588
8600000US02090,ZCTA5 02090,15612,42
8600000US02093,ZCTA5 02093,11597,17
8600000US02108,ZCTA5 02108,4211,514
8600000US02109,ZCTA5 02109,4051,547
8600000US02110,ZCTA5 02110,2270,419
8600000US02111,ZCTA5 02111,7452,594
8600000US02113,ZCTA5 02113,7464,456
8600000US02114,ZCTA5 02114,13247,661
8600000US02115,ZCTA5 02115,29244,1213
