"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US75446","ZCTA5 75446","3553","425",
"8600000US75447","ZCTA5 75447","1057","244",
"8600000US75448","ZCTA5 75448","604","188",
"8600000US75449","ZCTA5 75449","1484","220",
"8600000US75450","ZCTA5 75450","173","120",
"8600000US75451","ZCTA5 75451","998","280",
"8600000US75452","ZCTA5 75452","4306","370",
"8600000US75453","ZCTA5 75453","3102","422",
"8600000US75454","ZCTA5 75454","8807","285",
"8600000US75455","ZCTA5 75455","28560","632",
"8600000US75457","ZCTA5 75457","6131","425",
"8600000US75459","ZCTA5 75459","5207","495",
"8600000US75460","ZCTA5 75460","22226","645",
"8600000US75462","ZCTA5 75462","11691","821",
"8600000US75468","ZCTA5 75468","918","320",
"8600000US75469","ZCTA5 75469","350","119",
"8600000US75470","ZCTA5 75470","502","224",
"8600000US75471","ZCTA5 75471","1503","406",
"8600000US75472","ZCTA5 75472","3931","422",
"8600000US75473","ZCTA5 75473","3879","442",
"8600000US75474","ZCTA5 75474","15047","858",
"8600000US75475","ZCTA5 75475","220","100",
"8600000US75476","ZCTA5 75476","988","257",
"8600000US75477","ZCTA5 75477","895","207",
"8600000US75478","ZCTA5 75478","831","181",
"8600000US75479","ZCTA5 75479","1859","215",
"8600000US75480","ZCTA5 75480","1814","374",
"8600000US75481","ZCTA5 75481","346","88",
"8600000US75482","ZCTA5 75482","24802","507",
"8600000US75486","ZCTA5 75486","2552","543",
"8600000US75487","ZCTA5 75487","1688","393",
"8600000US75488","ZCTA5 75488","603","167",
"8600000US75489","ZCTA5 75489","1061","229",
"8600000US75490","ZCTA5 75490","2399","234",
"8600000US75491","ZCTA5 75491","5646","514",
"8600000US75492","ZCTA5 75492","404","132",
"8600000US75493","ZCTA5 75493","532","139",
"8600000US75494","ZCTA5 75494","9931","632",
"8600000US75495","ZCTA5 75495","7797","643",
"8600000US75496","ZCTA5 75496","3436","385",
"8600000US75497","ZCTA5 75497","3585","665",
"8600000US75501","ZCTA5 75501","35692","1485",
"8600000US75503","ZCTA5 75503","25916","1253",
"8600000US75550","ZCTA5 75550","838","187",
"8600000US75551","ZCTA5 75551","10867","731",
"8600000US75554","ZCTA5 75554","1805","326",
"8600000US75555","ZCTA5 75555","1765","427",
"8600000US75556","ZCTA5 75556","1044","264",
"8600000US75558","ZCTA5 75558","1902","602",
"8600000US75559","ZCTA5 75559","5316","483",
"8600000US75560","ZCTA5 75560","715","261",
"8600000US75561","ZCTA5 75561","5108","387",
"8600000US75562","ZCTA5 75562","58","64",
"8600000US75563","ZCTA5 75563","4410","515",
"8600000US75565","ZCTA5 75565","193","88",
"8600000US75566","ZCTA5 75566","604","209",
"8600000US75567","ZCTA5 75567","5191","757",
"8600000US75568","ZCTA5 75568","2271","441",
"8600000US75569","ZCTA5 75569","3229","20",
"8600000US75570","ZCTA5 75570","10969","537",
"8600000US75571","ZCTA5 75571","3189","506",
"8600000US75572","ZCTA5 75572","4285","595",
"8600000US75573","ZCTA5 75573","59","60",
"8600000US75574","ZCTA5 75574","1716","309",
"8600000US75601","ZCTA5 75601","16310","1176",
"8600000US75602","ZCTA5 75602","22112","1083",
"8600000US75603","ZCTA5 75603","5913","725",
"8600000US75604","ZCTA5 75604","30565","1500",
"8600000US75605","ZCTA5 75605","30721","1310",
"8600000US75630","ZCTA5 75630","2238","367",
"8600000US75631","ZCTA5 75631","3137","384",
"8600000US75633","ZCTA5 75633","13779","571",
"8600000US75638","ZCTA5 75638","5908","524",
"8600000US75639","ZCTA5 75639","2790","514",
"8600000US75640","ZCTA5 75640","5020","757",
"8600000US75641","ZCTA5 75641","126","82",
"8600000US75642","ZCTA5 75642","27","43",
"8600000US75643","ZCTA5 75643","2462","355",
"8600000US75644","ZCTA5 75644","12579","776",
"8600000US75645","ZCTA5 75645","10253","905",
"8600000US75647","ZCTA5 75647","12459","879",
"8600000US75650","ZCTA5 75650","8858","745",
"8600000US75651","ZCTA5 75651","2192","767",
"8600000US75652","ZCTA5 75652","17061","913",
"8600000US75654","ZCTA5 75654","12299","909",
"8600000US75656","ZCTA5 75656","4601","470",
"8600000US75657","ZCTA5 75657","8139","522",
"8600000US75661","ZCTA5 75661","3043","766",
"8600000US75662","ZCTA5 75662","26009","965",
"8600000US75667","ZCTA5 75667","1072","206",
"8600000US75668","ZCTA5 75668","2005","429",
"8600000US75669","ZCTA5 75669","613","250",
"8600000US75670","ZCTA5 75670","17537","839",
"8600000US75672","ZCTA5 75672","16252","858",
"8600000US75681","ZCTA5 75681","2299","328",
"8600000US75682","ZCTA5 75682","519","139",
"8600000US75683","ZCTA5 75683","3811","648",
"8600000US75684","ZCTA5 75684","7750","699",
