NAME,Industry,Year,Total Employed
"Charlotte city, North Carolina",Finance and Real Estate,2021,72261
"Houston city, Texas",Finance and Real Estate,2021,69092
"Dallas city, Texas",Finance and Real Estate,2021,65161
"San Antonio city, Texas",Finance and Real Estate,2021,57780
"Jacksonville city, Florida",Finance and Real Estate,2021,51746
"San Diego city, California",Finance and Real Estate,2021,46410
"Columbus city, Ohio",Finance and Real Estate,2021,44568
"Austin city, Texas",Finance and Real Estate,2021,42634
"Philadelphia city, Pennsylvania",Finance and Real Estate,2021,42280
"Fort Worth city, Texas",Finance and Real Estate,2021,38300
"Denver city, Colorado",Finance and Real Estate,2021,36967
"San Francisco city, California",Finance and Real Estate,2021,34554
"Nashville-Davidson metropolitan government (balance), Tennessee",Finance and Real Estate,2021,31504
"Indianapolis city (balance), Indiana",Finance and Real Estate,2021,31036
"Boston city, Massachusetts",Finance and Real Estate,2021,28908
"Seattle city, Washington",Finance and Real Estate,2021,27346
"New York city, New York","Professional, scientific, and management, and administrative and waste management services",2021,577905
"Los Angeles city, California","Professional, scientific, and management, and administrative and waste management services",2021,291281
"Chicago city, Illinois","Professional, scientific, and management, and administrative and waste management services",2021,238620
"Houston city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,175031
"San Diego city, California","Professional, scientific, and management, and administrative and waste management services",2021,137247
"Austin city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,131026
"San Francisco city, California","Professional, scientific, and management, and administrative and waste management services",2021,124045
"Phoenix city, Arizona","Professional, scientific, and management, and administrative and waste management services",2021,114372
"Seattle city, Washington","Professional, scientific, and management, and administrative and waste management services",2021,107887
"Dallas city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,99933
"San Jose city, California","Professional, scientific, and management, and administrative and waste management services",2021,97117
"Philadelphia city, Pennsylvania","Professional, scientific, and management, and administrative and waste management services",2021,97026
"Washington city, District of Columbia","Professional, scientific, and management, and administrative and waste management services",2021,95313
"Denver city, Colorado","Professional, scientific, and management, and administrative and waste management services",2021,83661
"San Antonio city, Texas","Professional, scientific, and management, and administrative and waste management services",2021,82413
"Charlotte city, North Carolina","Professional, scientific, and management, and administrative and waste management services",2021,73524
"Boston city, Massachusetts","Professional, scientific, and management, and administrative and waste management services",2021,72130
"Portland city, Oregon","Professional, scientific, and management, and administrative and waste management services",2021,62131
"Atlanta city, Georgia","Professional, scientific, and management, and administrative and waste management services",2021,61346
"Jacksonville city, Florida","Professional, scientific, and management, and administrative and waste management services",2021,60339
"New York city, New York",Education and Health,2021,1126799
"Los Angeles city, California",Education and Health,2021,386951
"Chicago city, Illinois",Education and Health,2021,327946
"Philadelphia city, Pennsylvania",Education and Health,2021,234691
"Houston city, Texas",Education and Health,2021,227410
"San Antonio city, Texas",Education and Health,2021,161727
"Phoenix city, Arizona",Education and Health,2021,160463
"San Diego city, California",Education and Health,2021,156682
"Dallas city, Texas",Education and Health,2021,121518
"Boston city, Massachusetts",Education and Health,2021,114661
"Columbus city, Ohio",Education and Health,2021,113227
"Austin city, Texas",Education and Health,2021,107247
"San Francisco city, California",Education and Health,2021,97923
"Seattle city, Washington",Education and Health,2021,97535
"San Jose city, California",Education and Health,2021,96387
"Indianapolis city (balance), Indiana",Education and Health,2021,94132
"Fort Worth city, Texas",Education and Health,2021,92442
"Baltimore city, Maryland",Education and Health,2021,90047
"Jacksonville city, Florida",Education and Health,2021,89283
"Denver city, Colorado",Education and Health,2021,88172
"New York city, New York","Arts, Entertainment, and Food",2021,300639
"Los Angeles city, California","Arts, Entertainment, and Food",2021,204930
"Chicago city, Illinois","Arts, Entertainment, and Food",2021,108068
"Houston city, Texas","Arts, Entertainment, and Food",2021,95107
"San Antonio city, Texas","Arts, Entertainment, and Food",2021,77603
"Phoenix city, Arizona","Arts, Entertainment, and Food",2021,73196
"San Diego city, California","Arts, Entertainment, and Food",2021,62037
"Las Vegas city, Nevada","Arts, Entertainment, and Food",2021,56170
"Philadelphia city, Pennsylvania","Arts, Entertainment, and Food",2021,53795
"Dallas city, Texas","Arts, Entertainment, and Food",2021,51531
"Austin city, Texas","Arts, Entertainment, and Food",2021,48403
"Jacksonville city, Florida","Arts, Entertainment, and Food",2021,45684
"Columbus city, Ohio","Arts, Entertainment, and Food",2021,42594
"Fort Worth city, Texas","Arts, Entertainment, and Food",2021,42071
"Nashville-Davidson metropolitan government (balance), Tennessee","Arts, Entertainment, and Food",2021,38356
"Charlotte city, North Carolina","Arts, Entertainment, and Food",2021,37507
"Indianapolis city (balance), Indiana","Arts, Entertainment, and Food",2021,35395
"San Jose city, California","Arts, Entertainment, and Food",2021,34590
"Tucson city, Arizona","Arts, Entertainment, and Food",2021,32649
"Seattle city, Washington","Arts, Entertainment, and Food",2021,31633
"New York city, New York","Others, except public administration",2021,185393
"Los Angeles city, California","Others, except public administration",2021,109548
"Chicago city, Illinois","Others, except public administration",2021,61986
"Houston city, Texas","Others, except public administration",2021,58459
"Phoenix city, Arizona","Others, except public administration",2021,36784
"San Antonio city, Texas","Others, except public administration",2021,34310
"Dallas city, Texas","Others, except public administration",2021,33834
"Washington city, District of Columbia","Others, except public administration",2021,32384
"San Diego city, California","Others, except public administration",2021,28344
"Philadelphia city, Pennsylvania","Others, except public administration",2021,27444
"Austin city, Texas","Others, except public administration",2021,26744
"Fort Worth city, Texas","Others, except public administration",2021,25585
"Jacksonville city, Florida","Others, except public administration",2021,23130
"Seattle city, Washington","Others, except public administration",2021,21364
"Denver city, Colorado","Others, except public administration",2021,21226
"Portland city, Oregon","Others, except public administration",2021,21173
"Charlotte city, North Carolina","Others, except public administration",2021,20796
"Columbus city, Ohio","Others, except public administration",2021,18666
"Nashville-Davidson metropolitan government (balance), Tennessee","Others, except public administration",2021,18158
"San Jose city, California","Others, except public administration",2021,17755
"New York city, New York",Public Administration,2021,158433
"Washington city, District of Columbia",Public Administration,2021,65816
"Chicago city, Illinois",Public Administration,2021,57999
"Los Angeles city, California",Public Administration,2021,48378
"Philadelphia city, Pennsylvania",Public Administration,2021,40749
"Austin city, Texas",Public Administration,2021,32736
"Sacramento city, California",Public Administration,2021,32633
"San Diego city, California",Public Administration,2021,32139
"Phoenix city, Arizona",Public Administration,2021,27481
"San Antonio city, Texas",Public Administration,2021,26990
"Houston city, Texas",Public Administration,2021,26662
"Arlington CDP, Virginia",Public Administration,2021,23175
"Baltimore city, Maryland",Public Administration,2021,22781
"Albuquerque city, New Mexico",Public Administration,2021,22775
"Jacksonville city, Florida",Public Administration,2021,22088
"Oklahoma City city, Oklahoma",Public Administration,2021,22016
"Indianapolis city (balance), Indiana",Public Administration,2021,20295
"El Paso city, Texas",Public Administration,2021,19971
"Columbus city, Ohio",Public Administration,2021,18789
"Virginia Beach city, Virginia",Public Administration,2021,18154
